"","ARO1","term1","ARO2","term2","n_unigenes","gene_class1","gene_class2"
"526","ARO:3004629","AAC(6')-Im","ARO:3004191","APH(2'')-If",2,"aac","aph"
"527","ARO:3002565","AAC(6')-Iu","ARO:3002568","AAC(6')-Ix",2,"aac","aac"
"528","ARO:3006271","ACT-107","ARO:3007890","ACT-77",2,"class C beta-lactamase","class C beta-lactamase"
"529","ARO:3001849","ACT-109","ARO:3007892","ACT-29",2,"class C beta-lactamase","class C beta-lactamase"
"530","ARO:3007892","ACT-109","ARO:3007650","CDA-1",2,"class C beta-lactamase","class C beta-lactamase"
"531","ARO:3001834","ACT-12","ARO:3007650","CDA-1",2,"class C beta-lactamase","class C beta-lactamase"
"532","ARO:3001834","ACT-12","ARO:3009046","SFDC-1",2,"class C beta-lactamase","class C beta-lactamase"
"533","ARO:3007913","ACT-145","ARO:3001829","ACT-4",2,"class C beta-lactamase","class C beta-lactamase"
"534","ARO:3001825","ACT-145","ARO:3007913","ACT-6",2,"class C beta-lactamase","class C beta-lactamase"
"535","ARO:3007921","ACT-156","ARO:3001829","ACT-4",2,"class C beta-lactamase","class C beta-lactamase"
"536","ARO:3007921","ACT-156","ARO:3001825","ACT-6",2,"class C beta-lactamase","class C beta-lactamase"
"537","ARO:3006271","ACT-156","ARO:3007921","ACT-77",2,"class C beta-lactamase","class C beta-lactamase"
"538","ARO:3001825","ACT-172","ARO:3007935","ACT-6",2,"class C beta-lactamase","class C beta-lactamase"
"539","ARO:3007939","ACT-176","ARO:3001822","ACT-2",2,"class C beta-lactamase","class C beta-lactamase"
"540","ARO:3007939","ACT-176","ARO:3007650","CDA-1",2,"class C beta-lactamase","class C beta-lactamase"
"541","ARO:3001829","ACT-2","ARO:3001822","ACT-4",2,"class C beta-lactamase","class C beta-lactamase"
"542","ARO:3001825","ACT-2","ARO:3001822","ACT-6",2,"class C beta-lactamase","class C beta-lactamase"
"543","ARO:3001849","ACT-29","ARO:3003655","ACT-38",2,"class C beta-lactamase","class C beta-lactamase"
"544","ARO:3001849","ACT-29","ARO:3001825","ACT-6",2,"class C beta-lactamase","class C beta-lactamase"
"545","ARO:3001849","ACT-29","ARO:3008125","CMY-190",2,"class C beta-lactamase","class C beta-lactamase"
"546","ARO:3001849","ACT-29","ARO:3009046","SFDC-1",2,"class C beta-lactamase","class C beta-lactamase"
"547","ARO:3001825","ACT-4","ARO:3001829","ACT-6",2,"class C beta-lactamase","class C beta-lactamase"
"548","ARO:3006271","ACT-4","ARO:3001829","ACT-77",2,"class C beta-lactamase","class C beta-lactamase"
"549","ARO:3006244","ACT-49","ARO:3006271","ACT-77",2,"class C beta-lactamase","class C beta-lactamase"
"550","ARO:3003857","ADC-129","ARO:3006304","ADC-13",2,"class C beta-lactamase","class C beta-lactamase"
"551","ARO:3006304","ADC-129","ARO:3003868","ADC-25",2,"class C beta-lactamase","class C beta-lactamase"
"552","ARO:3006309","ADC-134","ARO:3003868","ADC-25",2,"class C beta-lactamase","class C beta-lactamase"
"553","ARO:3003860","ADC-16","ARO:3003868","ADC-25",2,"class C beta-lactamase","class C beta-lactamase"
"554","ARO:3003863","ADC-19","ARO:3003868","ADC-25",2,"class C beta-lactamase","class C beta-lactamase"
"555","ARO:3003863","ADC-19","ARO:3008053","ADC-343",2,"class C beta-lactamase","class C beta-lactamase"
"556","ARO:3006370","ADC-201","ARO:3008063","ADC-353",2,"class C beta-lactamase","class C beta-lactamase"
"557","ARO:3006375","ADC-206","ARO:3003868","ADC-25",2,"class C beta-lactamase","class C beta-lactamase"
"558","ARO:3003865","ADC-21","ARO:3003868","ADC-25",2,"class C beta-lactamase","class C beta-lactamase"
"559","ARO:3003866","ADC-22","ARO:3003868","ADC-25",2,"class C beta-lactamase","class C beta-lactamase"
"560","ARO:3008008","ADC-25","ARO:3003868","ADC-292",2,"class C beta-lactamase","class C beta-lactamase"
"561","ARO:3008053","ADC-25","ARO:3003868","ADC-343",2,"class C beta-lactamase","class C beta-lactamase"
"562","ARO:3008063","ADC-25","ARO:3003868","ADC-353",2,"class C beta-lactamase","class C beta-lactamase"
"563","ARO:3003874","ADC-25","ARO:3003868","ADC-43",2,"class C beta-lactamase","class C beta-lactamase"
"564","ARO:3003851","ADC-25","ARO:3003868","ADC-5",2,"class C beta-lactamase","class C beta-lactamase"
"565","ARO:3004493","ADC-25","ARO:3003868","ADC-68",2,"class C beta-lactamase","class C beta-lactamase"
"566","ARO:3002481","AER-1","ARO:3004773","CKO-1",2,"class A beta-lactamase","class A beta-lactamase"
"567","ARO:3009029","AIM-1","ARO:3000853","PJM-2",2,"class B beta-lactamase","class B beta-lactamase"
"568","ARO:3000851","ALG6-1","ARO:3006893","THIN-B",2,"class B beta-lactamase","class B beta-lactamase"
"569","ARO:3002492","AMZ-1","ARO:3007694","LRA-18",2,"class C beta-lactamase","class C beta-lactamase"
"570","ARO:3002647","APH(3')-IIIa","ARO:3002654","APH(3')-VIIa",2,"aph","aph"
"571","ARO:3002644","APH(3')-IIa","ARO:3002648","APH(3')-IVa",2,"aph","aph"
"572","ARO:3002645","APH(3')-IIb","ARO:3002647","APH(3')-IIIa",2,"aph","aph"
"573","ARO:3002649","APH(3')-IIb","ARO:3002645","APH(3')-Va",2,"aph","aph"
"574","ARO:3004087","APH(3')-IXa","ARO:3002653","APH(3')-VIb",2,"aph","aph"
"575","ARO:3002649","APH(3')-Va","ARO:3004680","APH(3')-VIIIa",2,"aph","aph"
"576","ARO:3002650","APH(3')-Vb","ARO:3002651","APH(3')-Vc",2,"aph","aph"
"577","ARO:3008390","AQU-1","ARO:3002993","MOX-22",2,"class C beta-lactamase","class C beta-lactamase"
"578","ARO:3002993","AQU-1","ARO:3008392","MOX-24",2,"class C beta-lactamase","class C beta-lactamase"
"579","ARO:3002993","AQU-1","ARO:3005150","PAC-1",2,"class C beta-lactamase","class C beta-lactamase"
"580","ARO:3004647","AQU-2","ARO:3006464","CMY-8b",2,"class C beta-lactamase","class C beta-lactamase"
"581","ARO:3008390","AQU-2","ARO:3004647","MOX-22",2,"class C beta-lactamase","class C beta-lactamase"
"582","ARO:3009041","AQU-2","ARO:3004647","RSC1-1",2,"class C beta-lactamase","class C beta-lactamase"
"583","ARO:3004648","AQU-3","ARO:3006464","CMY-8b",2,"class C beta-lactamase","class C beta-lactamase"
"584","ARO:3004740","AST-1","ARO:3004749","BCL-1",2,"class A beta-lactamase","class A beta-lactamase"
"585","ARO:3006946","AST-1","ARO:3004740","LUT-4",2,"class A beta-lactamase","class A beta-lactamase"
"586","ARO:3004740","AST-1","ARO:3009007","PEN-A29",2,"class A beta-lactamase","class A beta-lactamase"
"587","ARO:3004451","Agrobacterium fabrum chloramphenicol acetyltransferase","ARO:3003110","catB10",2,"cat","cat"
"588","ARO:3008079","B3SU2-1","ARO:3002512","LRA-17",2,"class B beta-lactamase","class B beta-lactamase"
"589","ARO:3009026","BES-1","ARO:3004751","PEN-B4",2,"class A beta-lactamase","class A beta-lactamase"
"590","ARO:3000855","BJP-1","ARO:3000856","CAU-1",2,"class B beta-lactamase","class B beta-lactamase"
"591","ARO:3002252","BOR-1","ARO:3008082","CARB-14",2,"class A beta-lactamase","class A beta-lactamase"
"592","ARO:3002255","BOR-1","ARO:3008082","CARB-16",2,"class A beta-lactamase","class A beta-lactamase"
"593","ARO:3001961","BOR-1","ARO:3008082","CTX-M-102",2,"class A beta-lactamase","class A beta-lactamase"
"594","ARO:3001981","BOR-1","ARO:3008082","CTX-M-122",2,"class A beta-lactamase","class A beta-lactamase"
"595","ARO:3001925","BOR-1","ARO:3008082","CTX-M-64",2,"class A beta-lactamase","class A beta-lactamase"
"596","ARO:3005096","BOR-1","ARO:3008082","GPC-1",2,"class A beta-lactamase","class A beta-lactamase"
"597","ARO:3002474","BOR-1","ARO:3008082","LEN-26",2,"class A beta-lactamase","class A beta-lactamase"
"598","ARO:3002423","BOR-1","ARO:3008082","OKP-A-6",2,"class A beta-lactamase","class A beta-lactamase"
"599","ARO:3008082","BOR-1","ARO:3008997","PEN-A1",2,"class A beta-lactamase","class A beta-lactamase"
"600","ARO:3008082","BOR-1","ARO:3009007","PEN-A29",2,"class A beta-lactamase","class A beta-lactamase"
"601","ARO:3003558","BOR-1","ARO:3008082","y56 beta-lactamase",2,"class A beta-lactamase","class A beta-lactamase"
"602","ARO:3002877","BcI","ARO:3004749","BCL-1",2,"class A beta-lactamase","class A beta-lactamase"
"603","ARO:3007101","BcIII","ARO:3006944","LUT-2",2,"class A beta-lactamase","class A beta-lactamase"
"604","ARO:3003565","BcIII","ARO:3007101","R39",2,"class A beta-lactamase","class A beta-lactamase"
"605","ARO:3002466","CAE-1","ARO:3007635","LEN-19",2,"class A beta-lactamase","class A beta-lactamase"
"606","ARO:3002474","CAE-1","ARO:3007635","LEN-26",2,"class A beta-lactamase","class A beta-lactamase"
"607","ARO:3007635","CAE-1","ARO:3008998","PEN-A20",2,"class A beta-lactamase","class A beta-lactamase"
"608","ARO:3007635","CAE-1","ARO:3009002","PEN-A24",2,"class A beta-lactamase","class A beta-lactamase"
"609","ARO:3009007","CAE-1","ARO:3007635","PEN-A29",2,"class A beta-lactamase","class A beta-lactamase"
"610","ARO:3007635","CAE-1","ARO:3009016","PEN-A38",2,"class A beta-lactamase","class A beta-lactamase"
"611","ARO:3007635","CAE-1","ARO:3009019","PEN-A6",2,"class A beta-lactamase","class A beta-lactamase"
"612","ARO:3007635","CAE-1","ARO:3009022","PEN-A9",2,"class A beta-lactamase","class A beta-lactamase"
"613","ARO:3009024","CAE-1","ARO:3007635","PEN-B2",2,"class A beta-lactamase","class A beta-lactamase"
"614","ARO:3003558","CAE-1","ARO:3007635","y56 beta-lactamase",2,"class A beta-lactamase","class A beta-lactamase"
"615","ARO:3008083","CAM-1","ARO:3004559","CAM-2",2,"class B beta-lactamase","class B beta-lactamase"
"616","ARO:3000606","CAR-1","ARO:3006903","FEZ-1",2,"class B beta-lactamase","class B beta-lactamase"
"617","ARO:3002249","CARB-10","ARO:3005584","CARB-50",2,"class A beta-lactamase","class A beta-lactamase"
"618","ARO:3002241","CARB-2","ARO:3002242","CARB-3",2,"class A beta-lactamase","class A beta-lactamase"
"619","ARO:3005588","CARB-49","ARO:3005583","CARB-54",2,"class A beta-lactamase","class A beta-lactamase"
"620","ARO:3002246","CARB-53","ARO:3005587","CARB-7",2,"class A beta-lactamase","class A beta-lactamase"
"621","ARO:3002248","CARB-53","ARO:3005587","CARB-9",2,"class A beta-lactamase","class A beta-lactamase"
"622","ARO:3002248","CARB-7","ARO:3002246","CARB-9",2,"class A beta-lactamase","class A beta-lactamase"
"623","ARO:3000855","CAU-1","ARO:3000606","FEZ-1",2,"class B beta-lactamase","class B beta-lactamase"
"624","ARO:3002127","CDA-1","ARO:3007650","CMY-116",2,"class C beta-lactamase","class C beta-lactamase"
"625","ARO:3001856","CFE-1","ARO:3008125","CMY-190",2,"class C beta-lactamase","class C beta-lactamase"
"626","ARO:3008084","CIA-3","ARO:3004770","CME-3",2,"class A beta-lactamase","class A beta-lactamase"
"627","ARO:3006883","CIM-1","ARO:3007840","ECV-1",2,"class B beta-lactamase","class B beta-lactamase"
"628","ARO:3004773","CKO-1","ARO:3006949","MAL-1",2,"class A beta-lactamase","class A beta-lactamase"
"629","ARO:3006155","CME-1","ARO:3004775","CME-2",2,"class A beta-lactamase","class A beta-lactamase"
"630","ARO:3008084","CME-2","ARO:3006155","CME-3",2,"class A beta-lactamase","class A beta-lactamase"
"631","ARO:3008182","CMY-1","ARO:3002012","FOX-20",2,"class C beta-lactamase","class C beta-lactamase"
"632","ARO:3008116","CMY-100","ARO:3002112","CMY-179",2,"class C beta-lactamase","class C beta-lactamase"
"633","ARO:3002087","CMY-100","ARO:3002112","CMY-74",2,"class C beta-lactamase","class C beta-lactamase"
"634","ARO:3002095","CMY-100","ARO:3002112","CMY-82",2,"class C beta-lactamase","class C beta-lactamase"
"635","ARO:3008125","CMY-179","ARO:3008116","CMY-190",2,"class C beta-lactamase","class C beta-lactamase"
"636","ARO:3008116","CMY-179","ARO:3002087","CMY-74",2,"class C beta-lactamase","class C beta-lactamase"
"637","ARO:3002069","CMY-59","ARO:3002078","CMY-65",2,"class C beta-lactamase","class C beta-lactamase"
"638","ARO:3002111","CMY-70","ARO:3002083","CMY-98",2,"class C beta-lactamase","class C beta-lactamase"
"639","ARO:3002095","CMY-74","ARO:3002087","CMY-82",2,"class C beta-lactamase","class C beta-lactamase"
"640","ARO:3002186","CMY-8b","ARO:3006464","MOX-3",2,"class C beta-lactamase","class C beta-lactamase"
"641","ARO:3005018","CRD3-1","ARO:3006864","LMB-1",2,"class B beta-lactamase","class B beta-lactamase"
"642","ARO:3006869","CSA-1","ARO:3006870","CSA-2",2,"class C beta-lactamase","class C beta-lactamase"
"643","ARO:3001866","CTX-M-140","ARO:3001998","CTX-M-3",2,"class A beta-lactamase","class A beta-lactamase"
"644","ARO:3007802","CTX-M-221","ARO:3005644","RATA-2",2,"class A beta-lactamase","class A beta-lactamase"
"645","ARO:3006924","CVI-1","ARO:3007005","YEM-1",2,"class B beta-lactamase","class B beta-lactamase"
"646","ARO:3004460","Campylobacter coli chloramphenicol acetyltransferase","ARO:3004454","Vibrio anguillarum chloramphenicol acetyltransferase",2,"cat","cat"
"647","ARO:3004454","Campylobacter coli chloramphenicol acetyltransferase","ARO:3002687","catQ",2,"cat","cat"
"648","ARO:3002674","CatU","ARO:3003983","Clostridium butyricum catB",2,"cat","cat"
"649","ARO:3006225","CblA-1","ARO:3002999","CepA-44",2,"class A beta-lactamase","class A beta-lactamase"
"650","ARO:3008395","CblA-1","ARO:3002999","MUN-6",2,"class A beta-lactamase","class A beta-lactamase"
"651","ARO:3003202","CblA-1","ARO:3002999","TLA-1",2,"class A beta-lactamase","class A beta-lactamase"
"652","ARO:3006942","CepA-29","ARO:3006224","LUS-1",2,"class A beta-lactamase","class A beta-lactamase"
"653","ARO:3003553","CepS","ARO:3006464","CMY-8b",2,"class C beta-lactamase","class C beta-lactamase"
"654","ARO:3006912","CfiA14","ARO:3006908","CfiA2",2,"class B beta-lactamase","class B beta-lactamase"
"655","ARO:3007374","EAM-1","ARO:3006873","PJM-1",2,"class B beta-lactamase","class B beta-lactamase"
"656","ARO:3009029","EAM-1","ARO:3006873","PJM-2",2,"class B beta-lactamase","class B beta-lactamase"
"657","ARO:3000842","EBR-1","ARO:3004463","EBR-2",2,"class B beta-lactamase","class B beta-lactamase"
"658","ARO:3000842","EBR-1","ARO:3005461","EBR-3",2,"class B beta-lactamase","class B beta-lactamase"
"659","ARO:3006875","EC-14","ARO:3006881","EC-8",2,"class C beta-lactamase","class C beta-lactamase"
"660","ARO:3006880","EC-19","ARO:3006879","EC-5",2,"class C beta-lactamase","class C beta-lactamase"
"661","ARO:3004290","EC-19","ARO:3006879","Escherichia coli ampC beta-lactamase",2,"class C beta-lactamase","class C beta-lactamase"
"662","ARO:3004290","EC-5","ARO:3006880","Escherichia coli ampC beta-lactamase",2,"class C beta-lactamase","class C beta-lactamase"
"663","ARO:3003717","ESP-1","ARO:3005698","GOB-50",2,"class B beta-lactamase","class B beta-lactamase"
"664","ARO:3002482","EXO-1","ARO:3003564","LRA-1",2,"class A beta-lactamase","class A beta-lactamase"
"665","ARO:3003564","EXO-1","ARO:3009007","PEN-A29",2,"class A beta-lactamase","class A beta-lactamase"
"666","ARO:3001265","Erm(30)","ARO:3000601","Erm(38)",2,"erm","erm"
"667","ARO:3001305","Erm(30)","ARO:3001265","ErmU",2,"erm","erm"
"668","ARO:3000605","Erm(36)","ARO:3000601","Erm(38)",2,"erm","erm"
"669","ARO:3000602","Erm(36)","ARO:3000605","Erm(39)",2,"erm","erm"
"670","ARO:3000605","Erm(36)","ARO:3004596","erm(46)",2,"erm","erm"
"671","ARO:3004606","Erm(38)","ARO:3000601","erm(40)",2,"erm","erm"
"672","ARO:3000594","ErmR","ARO:3001304","ErmS",2,"erm","erm"
"673","ARO:3004793","FONA-12","ARO:3008175","FONA-6",2,"class A beta-lactamase","class A beta-lactamase"
"674","ARO:3004793","FONA-6","ARO:3006980","RAHN-2",2,"class A beta-lactamase","class A beta-lactamase"
"675","ARO:3008182","FOX-2","ARO:3002156","FOX-20",2,"class C beta-lactamase","class C beta-lactamase"
"676","ARO:3008182","FOX-20","ARO:3002158","FOX-4",2,"class C beta-lactamase","class C beta-lactamase"
"677","ARO:3000149","FosA","ARO:3007368","FosG",2,"fos","fos"
"678","ARO:3003209","FosA3","ARO:3002872","fosA5",2,"fos","fos"
"679","ARO:3003210","FosA4","ARO:3007371","FosA8",2,"fos","fos"
"680","ARO:3007371","FosA8","ARO:3003207","FosK",2,"fos","fos"
"681","ARO:3007371","FosA8","ARO:3005024","FosL1",2,"fos","fos"
"682","ARO:3001384","GIL-1","ARO:3006888","TEM-207",2,"class A beta-lactamase","class A beta-lactamase"
"683","ARO:3000850","GOB-1","ARO:3005696","GOB-48",2,"class B beta-lactamase","class B beta-lactamase"
"684","ARO:3004092","HMB-1","ARO:3006977","PST-2",2,"class B beta-lactamase","class B beta-lactamase"
"685","ARO:3003689","ICR-Mo","ARO:3004569","MCR-1.1",2,"cell wall charge","cell wall charge"
"686","ARO:3004110","ICR-Mo","ARO:3004569","MCR-2.1",2,"cell wall charge","cell wall charge"
"687","ARO:3002263","IND-1","ARO:3002256","IND-7",2,"class B beta-lactamase","class B beta-lactamase"
"688","ARO:3002423","KBL-1","ARO:3007206","OKP-A-6",2,"class A beta-lactamase","class A beta-lactamase"
"689","ARO:3000847","KHM-1","ARO:3006976","PST-1",2,"class B beta-lactamase","class B beta-lactamase"
"690","ARO:3006927","KLUC-1","ARO:3006928","KLUC-2",2,"class A beta-lactamase","class A beta-lactamase"
"691","ARO:3002318","KPC-8","ARO:3009024","PEN-B2",2,"class A beta-lactamase","class A beta-lactamase"
"692","ARO:3000582","L1 beta-lactamase","ARO:3007201","PAM-3",2,"class B beta-lactamase","class B beta-lactamase"
"693","ARO:3000582","L1 beta-lactamase","ARO:3006975","POM-2",2,"class B beta-lactamase","class B beta-lactamase"
"694","ARO:3002482","LRA-1","ARO:3008821","PAD-1",2,"class A beta-lactamase","class A beta-lactamase"
"695","ARO:3002482","LRA-1","ARO:3008993","PEN-A16",2,"class A beta-lactamase","class A beta-lactamase"
"696","ARO:3002482","LRA-1","ARO:3008996","PEN-A19",2,"class A beta-lactamase","class A beta-lactamase"
"697","ARO:3002482","LRA-1","ARO:3009002","PEN-A24",2,"class A beta-lactamase","class A beta-lactamase"
"698","ARO:3002482","LRA-1","ARO:3009004","PEN-A26",2,"class A beta-lactamase","class A beta-lactamase"
"699","ARO:3002482","LRA-1","ARO:3009012","PEN-A33",2,"class A beta-lactamase","class A beta-lactamase"
"700","ARO:3002482","LRA-1","ARO:3003558","y56 beta-lactamase",2,"class A beta-lactamase","class A beta-lactamase"
"701","ARO:3002511","LRA-12","ARO:3002513","LRA-19",2,"class B beta-lactamase","class B beta-lactamase"
"702","ARO:3002511","LRA-12","ARO:3002510","LRA-3",2,"class B beta-lactamase","class B beta-lactamase"
"703","ARO:3002484","LRA-13","ARO:3008560","OXA-1142",2,"class D beta-lactamase","class D beta-lactamase"
"704","ARO:3009007","LRG-1","ARO:3006941","PEN-A29",2,"class A beta-lactamase","class A beta-lactamase"
"705","ARO:3006942","LUS-1","ARO:3009086","VEB-34",2,"class A beta-lactamase","class A beta-lactamase"
"706","ARO:3004455","Limosilactobacillus reuteri cat-TC","ARO:3002671","Streptococcus suis chloramphenicol acetyltransferase",2,"cat","cat"
"707","ARO:3002185","MOX-12","ARO:3006477","MOX-6",2,"class C beta-lactamase","class C beta-lactamase"
"708","ARO:3009041","MOX-9","ARO:3002191","RSC1-1",2,"class C beta-lactamase","class C beta-lactamase"
"709","ARO:3003894","MSI-1","ARO:3003718","Rm3",2,"class B beta-lactamase","class B beta-lactamase"
"710","ARO:3002518","OCH-1","ARO:3002514","OCH-5",2,"class C beta-lactamase","class C beta-lactamase"
"711","ARO:3002521","OCH-1","ARO:3002514","OCH-8",2,"class C beta-lactamase","class C beta-lactamase"
"712","ARO:3002515","OCH-2","ARO:3002519","OCH-6",2,"class C beta-lactamase","class C beta-lactamase"
"713","ARO:3002521","OCH-2","ARO:3002515","OCH-8",2,"class C beta-lactamase","class C beta-lactamase"
"714","ARO:3002520","OCH-3","ARO:3002516","OCH-7",2,"class C beta-lactamase","class C beta-lactamase"
"715","ARO:3002521","OCH-3","ARO:3002516","OCH-8",2,"class C beta-lactamase","class C beta-lactamase"
"716","ARO:3002420","OKP-A-3","ARO:3008821","PAD-1",2,"class A beta-lactamase","class A beta-lactamase"
"717","ARO:3008821","ORN-5","ARO:3006961","PAD-1",2,"class A beta-lactamase","class A beta-lactamase"
"718","ARO:3001550","OXA-1005","ARO:3008426","OXA-363",2,"class D beta-lactamase","class D beta-lactamase"
"719","ARO:3008462","OXA-1043","ARO:3008560","OXA-1142",2,"class D beta-lactamase","class D beta-lactamase"
"720","ARO:3008507","OXA-1089","ARO:3005324","OXA-570",2,"class D beta-lactamase","class D beta-lactamase"
"721","ARO:3005325","OXA-1089","ARO:3008507","OXA-573",2,"class D beta-lactamase","class D beta-lactamase"
"722","ARO:3001780","OXA-1100","ARO:3008518","OXA-85",2,"class D beta-lactamase","class D beta-lactamase"
"723","ARO:3001780","OXA-1101","ARO:3008519","OXA-85",2,"class D beta-lactamase","class D beta-lactamase"
"724","ARO:3008530","OXA-1112","ARO:3001737","OXA-282",2,"class D beta-lactamase","class D beta-lactamase"
"725","ARO:3001548","OXA-1112","ARO:3008530","OXA-361",2,"class D beta-lactamase","class D beta-lactamase"
"726","ARO:3001769","OXA-1142","ARO:3008560","OXA-42",2,"class D beta-lactamase","class D beta-lactamase"
"727","ARO:3001769","OXA-1153","ARO:3008571","OXA-42",2,"class D beta-lactamase","class D beta-lactamase"
"728","ARO:3001407","OXA-1157","ARO:3008575","OXA-12",2,"class D beta-lactamase","class D beta-lactamase"
"729","ARO:3008575","OXA-1157","ARO:3008720","OXA-725",2,"class D beta-lactamase","class D beta-lactamase"
"730","ARO:3008575","OXA-1157","ARO:3006099","OXA-912",2,"class D beta-lactamase","class D beta-lactamase"
"731","ARO:3008578","OXA-1160","ARO:3003115","OXA-427",2,"class D beta-lactamase","class D beta-lactamase"
"732","ARO:3008578","OXA-1160","ARO:3005734","OXA-504",2,"class D beta-lactamase","class D beta-lactamase"
"733","ARO:3001397","OXA-1173","ARO:3008591","OXA-2",2,"class D beta-lactamase","class D beta-lactamase"
"734","ARO:3001775","OXA-119","ARO:3005937","OXA-732",2,"class D beta-lactamase","class D beta-lactamase"
"735","ARO:3001407","OXA-12","ARO:3006099","OXA-912",2,"class D beta-lactamase","class D beta-lactamase"
"736","ARO:3001407","OXA-12","ARO:3008727","OXA-950",2,"class D beta-lactamase","class D beta-lactamase"
"737","ARO:3003599","OXA-1239","ARO:3008649","OXA-443",2,"class D beta-lactamase","class D beta-lactamase"
"738","ARO:3008680","OXA-1270","ARO:3006041","OXA-848",2,"class D beta-lactamase","class D beta-lactamase"
"739","ARO:3001792","OXA-152","ARO:3001457","OXA-62",2,"class D beta-lactamase","class D beta-lactamase"
"740","ARO:3001478","OXA-193","ARO:3003616","OXA-460",2,"class D beta-lactamase","class D beta-lactamase"
"741","ARO:3001478","OXA-193","ARO:3001773","OXA-61",2,"class D beta-lactamase","class D beta-lactamase"
"742","ARO:3003620","OXA-198","ARO:3001805","OXA-464",2,"class D beta-lactamase","class D beta-lactamase"
"743","ARO:3001397","OXA-2","ARO:3005937","OXA-732",2,"class D beta-lactamase","class D beta-lactamase"
"744","ARO:3001777","OXA-209","ARO:3001809","OXA-347",2,"class D beta-lactamase","class D beta-lactamase"
"745","ARO:3001710","OXA-211","ARO:3005864","OXA-644",2,"class D beta-lactamase","class D beta-lactamase"
"746","ARO:3001714","OXA-215","ARO:3001742","OXA-287",2,"class D beta-lactamase","class D beta-lactamase"
"747","ARO:3001693","OXA-230","ARO:3008730","OXA-953",2,"class D beta-lactamase","class D beta-lactamase"
"748","ARO:3001550","OXA-235","ARO:3001676","OXA-363",2,"class D beta-lactamase","class D beta-lactamase"
"749","ARO:3001610","OXA-243","ARO:3003611","OXA-455",2,"class D beta-lactamase","class D beta-lactamase"
"750","ARO:3001610","OXA-243","ARO:3005743","OXA-513",2,"class D beta-lactamase","class D beta-lactamase"
"751","ARO:3001694","OXA-257","ARO:3005878","OXA-666",2,"class D beta-lactamase","class D beta-lactamase"
"752","ARO:3001694","OXA-257","ARO:3005932","OXA-727",2,"class D beta-lactamase","class D beta-lactamase"
"753","ARO:3001694","OXA-257","ARO:3005933","OXA-728",2,"class D beta-lactamase","class D beta-lactamase"
"754","ARO:3003117","OXA-270","ARO:3001726","OXA-421",2,"class D beta-lactamase","class D beta-lactamase"
"755","ARO:3001726","OXA-270","ARO:3006017","OXA-819",2,"class D beta-lactamase","class D beta-lactamase"
"756","ARO:3001681","OXA-278","ARO:3001738","OXA-283",2,"class D beta-lactamase","class D beta-lactamase"
"757","ARO:3001681","OXA-278","ARO:3001523","OXA-335",2,"class D beta-lactamase","class D beta-lactamase"
"758","ARO:3001681","OXA-278","ARO:3005335","OXA-496",2,"class D beta-lactamase","class D beta-lactamase"
"759","ARO:3001738","OXA-282","ARO:3001737","OXA-283",2,"class D beta-lactamase","class D beta-lactamase"
"760","ARO:3001523","OXA-282","ARO:3001737","OXA-335",2,"class D beta-lactamase","class D beta-lactamase"
"761","ARO:3001523","OXA-283","ARO:3001738","OXA-335",2,"class D beta-lactamase","class D beta-lactamase"
"762","ARO:3001751","OXA-296","ARO:3005878","OXA-666",2,"class D beta-lactamase","class D beta-lactamase"
"763","ARO:3001398","OXA-3","ARO:3005314","OXA-540",2,"class D beta-lactamase","class D beta-lactamase"
"764","ARO:3001549","OXA-362","ARO:3005339","OXA-646",2,"class D beta-lactamase","class D beta-lactamase"
"765","ARO:3001582","OXA-396","ARO:3005727","OXA-494",2,"class D beta-lactamase","class D beta-lactamase"
"766","ARO:3003117","OXA-421","ARO:3006017","OXA-819",2,"class D beta-lactamase","class D beta-lactamase"
"767","ARO:3006103","OXA-427","ARO:3003115","OXA-917",2,"class D beta-lactamase","class D beta-lactamase"
"768","ARO:3003600","OXA-444","ARO:3005060","OXA-837",2,"class D beta-lactamase","class D beta-lactamase"
"769","ARO:3001773","OXA-460","ARO:3003616","OXA-61",2,"class D beta-lactamase","class D beta-lactamase"
"770","ARO:3005325","OXA-573","ARO:3005060","OXA-837",2,"class D beta-lactamase","class D beta-lactamase"
"771","ARO:3001772","OXA-59","ARO:3005093","OXA-899",2,"class D beta-lactamase","class D beta-lactamase"
"772","ARO:3006099","OXA-725","ARO:3008720","OXA-912",2,"class D beta-lactamase","class D beta-lactamase"
"773","ARO:3005150","PAC-1","ARO:3006999","SST-1",2,"class C beta-lactamase","class C beta-lactamase"
"774","ARO:3008822","PAM-1","ARO:3007199","PAM-5",2,"class B beta-lactamase","class B beta-lactamase"
"775","ARO:3000621","PC1","ARO:3008823","PC1 beta-lactamase (blaZ)",2,"class A beta-lactamase","class A beta-lactamase"
"776","ARO:3006619","PDC-177","ARO:3006556","PDC-241",2,"class C beta-lactamase","class C beta-lactamase"
"777","ARO:3009041","PDC-177","ARO:3006556","RSC1-1",2,"class C beta-lactamase","class C beta-lactamase"
"778","ARO:3006815","PDC-241","ARO:3006619","PDC-447",2,"class C beta-lactamase","class C beta-lactamase"
"779","ARO:3009041","PDC-272","ARO:3005296","RSC1-1",2,"class C beta-lactamase","class C beta-lactamase"
"780","ARO:3006691","PDC-320","ARO:3005312","PDC-429",2,"class C beta-lactamase","class C beta-lactamase"
