"","ARO1","term1","ARO2","term2","n_unigenes","gene_class1","gene_class2"
"24","ARO:3004054","Pseudomonas aeruginosa CpxR","ARO:0010004","resistance-nodulation-cell division (RND) antibiotic efflux pump",71,"efflux pump","efflux pump"
"25","ARO:3002686","catP","ARO:3002688","catS",71,"cat","cat"
"26","ARO:3000777","adeF","ARO:3000790","mdsB",70,"efflux pump","efflux pump"
"27","ARO:3002913","vanI","ARO:3003723","vanO",70,"van","van"
"28","ARO:3004038","Pseudomonas aeruginosa emrE","ARO:3007014","qacJ",69,"efflux pump","efflux pump"
"29","ARO:3004039","Escherichia coli emrE","ARO:3007014","qacJ",64,"efflux pump","efflux pump"
"30","ARO:3000463","gimA","ARO:3000865","oleD",63,"mgt","mgt"
"31","ARO:3005098","qacG","ARO:3007015","qacL",63,"efflux pump","efflux pump"
"32","ARO:3003056","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:0010004","smeE",61,"efflux pump","efflux pump"
"33","ARO:3003801","bcr-1","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump",60,"MFS efflux pump","MFS efflux pump"
"34","ARO:3003562","blaF","ARO:3005111","blaS1",60,"class A beta-lactamase","class A beta-lactamase"
"35","ARO:3002884","iri","ARO:3007210","Nocardia farcinica rox",58,"rifampin inactivation enzyme","rifampin inactivation enzyme"
"36","ARO:3007015","abeS","ARO:3000768","qacG",57,"efflux pump","efflux pump"
"37","ARO:3000777","acrB","ARO:3000216","adeF",57,"efflux pump","efflux pump"
"38","ARO:3000777","acrD","ARO:3000491","adeF",57,"efflux pump","efflux pump"
"39","ARO:3000198","FosI","ARO:3007370","FosX",56,"fos","fos"
"40","ARO:3002846","arr-1","ARO:3002849","arr-4",56,"rifampin inactivation enzyme","rifampin inactivation enzyme"
"41","ARO:3002531","AAC(3)-Ic","ARO:3002529","AAC(3)-Id",55,"aac","aac"
"42","ARO:3000777","adeF","ARO:3000811","mtrD",51,"efflux pump","efflux pump"
"43","ARO:3000149","FosA","ARO:3007371","FosA8",48,"fos","fos"
"44","ARO:3004042","Enterobacter cloacae acrA","ARO:3007509","Shigella flexneri acrA",47,"efflux pump","efflux pump"
