"gene","aro"
"DHA-16","ARO:3002147"
"aadK","ARO:3002627"
"OCH-7","ARO:3002520"
"mdsA","ARO:3000789"
"VIM-6","ARO:3002276"
"OXA-54","ARO:3001812"
"catB8","ARO:3002680"
"dfrG","ARO:3002868"
"QnrVC4","ARO:3002801"
"mtrE","ARO:3000812"
"vanC","ARO:3000368"
"adeR","ARO:3000553"
"CARB-3","ARO:3002242"
"Erm(37)","ARO:3000392"
"dfrD","ARO:3002866"
"amrB","ARO:3002983"
"catP","ARO:3002686"
"MexA","ARO:3000377"
"tet(B)","ARO:3000166"
"tet(Y)","ARO:3000182"
"blaF","ARO:3003562"
"cmlB","ARO:3002698"
"macB","ARO:3000535"
"TUS-1","ARO:3000844"
"OpmD","ARO:3000809"
"PER-2","ARO:3002364"
"tet(W)","ARO:3000194"
"AAC(3)-VIIIa","ARO:3002542"
"rosB","ARO:3003049"
"tetA(P)","ARO:3000180"
"FOX-1","ARO:3002155"
"dfrA25","ARO:3003020"
"ACT-2","ARO:3001822"
"OCH-8","ARO:3002521"
"emrY","ARO:3000254"
"adeH","ARO:3000779"
"AAC(6')-Is","ARO:3002562"
"arr-5","ARO:3002850"
"clbA","ARO:3002814"
"OXA-137","ARO:3001767"
"AAC(6')-Ia","ARO:3002545"
"AAC(3)-Ib","ARO:3002530"
"QnrB65","ARO:3002777"
"vgaA","ARO:3002829"
"lmrB","ARO:3002813"
"abeS","ARO:3000768"
"QnrB41","ARO:3002756"
"ROB-1","ARO:3002995"
"dfrA16","ARO:3003014"
"mdtG","ARO:3001329"
"IMI-2","ARO:3001859"
"emrK","ARO:3000206"
"SFB-1","ARO:3003557"
"emeA","ARO:3003551"
"ErmF","ARO:3000498"
"OXA-68","ARO:3001616"
"catB10","ARO:3003110"
"adeJ","ARO:3000781"
"smeF","ARO:3003057"
"CFE-1","ARO:3001856"
"mecR1","ARO:3000215"
"aadA","ARO:3002601"
"tcr3","ARO:3002893"
"tet(31)","ARO:3000476"
"eptA","ARO:3003576"
"Clostridium_butyricum_catB","ARO:3002674"
"AAC(3)-VIIa","ARO:3002541"
"dfrA26","ARO:3002857"
"OXA-243","ARO:3001610"
"AcrS","ARO:3000656"
"vanY_gene_in_vanB_cluster","ARO:3002956"
"vanXY_gene_in_vanE_cluster","ARO:3002967"
"vanV_gene_in_vanB_cluster","ARO:3004254"
"IND-3","ARO:3002259"
"AAC(6')-Ih","ARO:3002555"
"CMY-75","ARO:3002088"
"APH(3')-Vc","ARO:3002651"
"CTX-M-123","ARO:3001982"
"OXA-347","ARO:3001777"
"OXA-22","ARO:3001417"
"cfrA","ARO:3003441"
"Erm(42)","ARO:3003106"
"cmlv","ARO:3002700"
"APH(7'')-Ia","ARO:3002661"
"catB2","ARO:3002675"
"dfrB1","ARO:3002864"
"BcI","ARO:3002877"
"AAC(6')-Ij","ARO:3002557"
"PC1_beta-lactamase_(blaZ)","ARO:3000621"
"ErmS","ARO:3001304"
"AAC(6')-IIc","ARO:3002596"
"AAC(6')-Iae","ARO:3002573"
"QnrB21","ARO:3002736"
"AAC(3)-Id","ARO:3002529"
"arr-3","ARO:3002848"
"AAC(2')-Ib","ARO:3002524"
"cmeB","ARO:3000784"
"OXA-198","ARO:3001805"
"OCH-2","ARO:3002515"
"FOX-2","ARO:3002156"
"NDM-1","ARO:3000589"
"CARB-9","ARO:3002248"
"AAC(6')-Iv","ARO:3002566"
"dfrA23","ARO:3003019"
"iri","ARO:3002884"
"cmeC","ARO:3000785"
"mfpA","ARO:3003035"
"cphA4","ARO:3003100"
"tetB(P)","ARO:3000195"
"lnuB","ARO:3002836"
"mecC","ARO:3001209"
"MexC","ARO:3000800"
"OprJ","ARO:3000802"
"vanR_gene_in_vanA_cluster","ARO:3002919"
"mdtB","ARO:3000793"
"QnrD1","ARO:3002788"
"vanD","ARO:3000005"
"vanH_gene_in_vanO_cluster","ARO:3002948"
"tet(X)","ARO:3000205"
"SHV-161","ARO:3001200"
"FosA3","ARO:3002872"
"APH(3')-Ib","ARO:3002642"
"vatH","ARO:3002845"
"DHA-12","ARO:3002143"
"mepR","ARO:3000746"
"tet(56)","ARO:3004603"
"adeB","ARO:3000775"
"CRP","ARO:3000518"
"vatC","ARO:3002842"
"dfrA19","ARO:3003015"
"smeE","ARO:3003056"
"APH(6)-Ib","ARO:3002658"
"ErmC","ARO:3000250"
"SHV-33","ARO:3001091"
"Erm(36)","ARO:3000605"
"APH(6)-Ic","ARO:3002659"
"LCR-1","ARO:3002997"
"APH(2'')-Ig","ARO:3002669"
"rmtB","ARO:3000860"
"fexA","ARO:3002704"
"OXA-5","ARO:3001400"
"ANT(6)-Ia","ARO:3002626"
"PER-1","ARO:3002363"
"OKP-A-11","ARO:3002428"
"AAC(3)-IIb","ARO:3002534"
"carA","ARO:3002817"
"mecI","ARO:3000124"
"IMP-8","ARO:3002199"
"bcrB","ARO:3002988"
"ErmX","ARO:3000596"
"sul2","ARO:3000412"
"APH(3')-IIb","ARO:3002645"
"OXA-129","ARO:3001811"
"AAC(6')-Isa","ARO:3002563"
"otr(B)","ARO:3002892"
"rphA","ARO:3000444"
