"gene","aro"
"Streptococcus_suis_chloramphenicol_acetyltransferase","ARO:3004455"
"Enterococcus_faecium_chloramphenicol_acetyltransferase","ARO:3004456"
"Enterococcus_faecalis_chloramphenicol_acetyltransferase","ARO:3004458"
"Vibrio_anguillarum_chloramphenicol_acetyltransferase","ARO:3004460"
"Pseudomonas_aeruginosa_catB7","ARO:3002679"
"ICR-Mc","ARO:3004466"
"poxtA","ARO:3004470"
"CBP-1","ARO:3004764"
"OXA-270","ARO:3001726"
"CGA-1","ARO:3004766"
"OXA-152","ARO:3001457"
"OXA-459","ARO:3003615"
"BKC-1","ARO:3004757"
"LAP-1","ARO:3004825"
"OXA-306","ARO:3001761"
"BPU-1","ARO:3004759"
"CIA-1","ARO:3004768"
"OXA-154","ARO:3001459"
"AST-1","ARO:3004740"
"OXA-464","ARO:3003620"
"OXA-156","ARO:3001461"
"OXA-276","ARO:3001732"
"mphH","ARO:3004539"
"CIA-4","ARO:3004771"
"ADC-116","ARO:3006294"
"vmlR","ARO:3004476"
"DES-1","ARO:3004780"
"OXA-665","ARO:3004478"
"OXA-157","ARO:3001462"
"OXA-274","ARO:3001730"
"OXA-286","ARO:3001741"
"OXA-158","ARO:3001463"
"OXA-279","ARO:3001734"
"pgpB","ARO:3003920"
"CME-1","ARO:3004775"
"mphK","ARO:3004541"
"Klebsiella_pneumoniae_OmpK37","ARO:3004122"
"LEN-30","ARO:3004838"
"SCO-1","ARO:3004856"
"OXA-282","ARO:3001737"
"dfrB4","ARO:3004498"
"MCR-2.2","ARO:3004502"
"MCR-7.1","ARO:3004517"
"OXA-284","ARO:3001739"
"OXA-437","ARO:3003593"
"mphE","ARO:3003741"
"mphN","ARO:3004542"
"mphO","ARO:3004543"
"mphJ","ARO:3004544"
"dfrB5","ARO:3004549"
"erm(32)","ARO:3004592"
"dfrA6","ARO:3004547"
"dfrA27","ARO:3004550"
"dfrA30","ARO:3004552"
"dfrA32","ARO:3004555"
"dfrA18","ARO:3004568"
"ICR-Mo","ARO:3004569"
"Acinetobacter_baumannii_AbaF","ARO:3004573"
"Acinetobacter_baumannii_AbaQ","ARO:3004574"
"Acinetobacter_baumannii_AmvA","ARO:3004577"
"Klebsiella_pneumoniae_KpnE","ARO:3004580"
"Klebsiella_pneumoniae_KpnF","ARO:3004583"
"erm(46)","ARO:3004596"
"Klebsiella_pneumoniae_KpnG","ARO:3004588"
"Klebsiella_pneumoniae_KpnH","ARO:3004597"
"OXA-285","ARO:3001740"
"ERP-1","ARO:3004782"
"tet(57)","ARO:3005006"
"TEM-181","ARO:3001044"
"qacE","ARO:3005009"
"qacEdelta1","ARO:3005010"
"VMB-1","ARO:3005015"
"LMB-1","ARO:3005018"
"YajC","ARO:3005040"
"cmlA9","ARO:3005043"
"OmpA","ARO:3005044"
"SatA","ARO:3005045"
"BLMT","ARO:3005036"
"MecC-type_methicillin_resistance_repressor_MecI","ARO:3005046"
"eptB","ARO:3005047"
"CrcB","ARO:3005049"
"LpsB","ARO:3005051"
"LpsA","ARO:3005052"
"ArnT","ARO:3005053"
"LptD","ARO:3005059"
"OXA-837","ARO:3005060"
"AAC(3)-IVb","ARO:3005061"
"ANT(3'')-Ib","ARO:3005062"
"cprR","ARO:3005063"
"cprS","ARO:3005064"
"ParS","ARO:3005067"
"ParR","ARO:3005068"
"rsmA","ARO:3005069"
"AAC(3)-IIg","ARO:3005085"
"tet(X5)","ARO:3005057"
"RanB","ARO:3005090"
"RanA","ARO:3005091"
"OXA-899","ARO:3005093"
"OXA-898","ARO:3005094"
"GPC-1","ARO:3005096"
"mecC-type_BlaZ","ARO:3005097"
"qacH","ARO:3003836"
"qacL","ARO:3005098"
"23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(A)","ARO:3005099"
"FosB2","ARO:3005100"
"blaS1","ARO:3005111"
"PAC-1","ARO:3005150"
"Staphylococcus_aureus_LmrS","ARO:3004572"
"FosA7.5","ARO:3005162"
"CMY-157","ARO:3005198"
"OXA-926","ARO:3005323"
"OXA-573","ARO:3005325"
"OXA-671","ARO:3005328"
"Trimethoprim-resistant_dihydrofolate_reductase_DfrA42","ARO:3005334"
"OXA-648","ARO:3005338"
"OXA-646","ARO:3005339"
"OXA-825","ARO:3005344"
"DfrA34","ARO:3005346"
"DfrA36","ARO:3005348"
"dfr22","ARO:3005354"
"ACC-1c","ARO:3006230"
"ACC-7","ARO:3006232"
"ACT-50","ARO:3006245"
"ACT-52","ARO:3006247"
"ACT-53","ARO:3006248"
"ACT-59","ARO:3006254"
"ADC-129","ARO:3006304"
"ADC-133","ARO:3006308"
"ADC-134","ARO:3006309"
"ADC-138","ARO:3006313"
"ADC-150","ARO:3006324"
"ADC-154","ARO:3006328"
"ADC-210","ARO:3006379"
"ADC-254","ARO:3006424"
"ADC-80","ARO:3003886"
"ALI-1","ARO:3006894"
"ALI-2","ARO:3006895"
"ANA-1","ARO:3006896"
"AXC-1","ARO:3006897"
"AXC-2","ARO:3006898"
"AXC-3","ARO:3006899"
"BlaB-11","ARO:3005524"
"BlaB-12","ARO:3005525"
"BlaB-38","ARO:3005551"
"BlaB-7","ARO:3005555"
"BSU-1","ARO:3006902"
"CAR-1","ARO:3006903"
"CARB-42","ARO:3005576"
"CDD-1","ARO:3006904"
"CDD-2","ARO:3006905"
"CepA-29","ARO:3006224"
"CepA-44","ARO:3006225"
"CMA-1","ARO:3006922"
"CMA-2","ARO:3006923"
"CME-2","ARO:3006155"
"CMH-2","ARO:3006854"
"CMY-159","ARO:3006458"
"CRH-1","ARO:3006865"
"CRH-2","ARO:3006866"
"CRP-1","ARO:3006868"
"CSA-1","ARO:3006869"
"CSP-1","ARO:3006871"
"CVI-1","ARO:3006924"
"EAM-1","ARO:3006873"
"EBR-3","ARO:3005461"
"EBR-4","ARO:3005462"
"EC-13","ARO:3006874"
"EC-15","ARO:3006876"
"EC-5","ARO:3006880"
"EC-8","ARO:3006881"
"ECM-1","ARO:3006882"
"ECV-1","ARO:3006883"
"EFM-1","ARO:3006884"
"ELM-1","ARO:3006885"
"FIA-1","ARO:3006887"
"FOX-15","ARO:3006473"
"GOB-29","ARO:3005678"
"GOB-33","ARO:3005682"
"GOB-48","ARO:3005696"
"IMI-13","ARO:3006177"
"IND-16","ARO:3005493"
"KLUC-1","ARO:3006927"
"LHK-1","ARO:3006935"
"LRG-1","ARO:3006941"
"LUS-1","ARO:3006942"
"LUT-4","ARO:3006946"
"MAL-1","ARO:3006949"
"MOC-1","ARO:3006952"
"MYX-1","ARO:3006955"
"OKP-B-22","ARO:3006144"
"OKP-C-1","ARO:3006152"
"OKP-D-1","ARO:3006153"
"ORN-1","ARO:3006957"
"ORR-1","ARO:3006963"
"OXA-307","ARO:3001762"
"OXA-396","ARO:3001582"
"OXA-491","ARO:3005725"
"OXA-493","ARO:3005726"
"OXA-502","ARO:3005732"
"OXA-504","ARO:3005734"
"OXA-518","ARO:3005748"
"OXA-551","ARO:3005775"
"OXA-569","ARO:3005793"
"OXA-574","ARO:3005795"
"OXA-576","ARO:3005797"
"OXA-602","ARO:3005823"
"OXA-609","ARO:3005830"
"OXA-623","ARO:3005844"
"OXA-638","ARO:3005859"
"OXA-643","ARO:3005863"
"OXA-652","ARO:3005868"
"OXA-666","ARO:3005878"
"OXA-726","ARO:3005931"
"OXA-729","ARO:3005934"
"OXA-731","ARO:3005936"
"OXA-732","ARO:3005937"
"OXA-819","ARO:3006017"
"OXA-830","ARO:3006027"
"OXA-900","ARO:3006088"
"OXA-917","ARO:3006103"
"OXA-919","ARO:3006105"
"PAU-1","ARO:3006964"
"PDC-160","ARO:3006539"
"PDC-34","ARO:3006709"
"PFM-2","ARO:3006966"
"PLN-1","ARO:3006972"
"POM-1","ARO:3006974"
"PST-2","ARO:3006977"
"PSV-1","ARO:3006978"
"RSA2-1","ARO:3006981"
"RUB-1","ARO:3006984"
"SFC-1","ARO:3006985"
"SFO-1","ARO:3006986"
"SGM-1","ARO:3006987"
"SGM-2","ARO:3006988"
"SGM-3","ARO:3006989"
"SGM-4","ARO:3006990"
"SGM-5","ARO:3006991"
"SGM-6","ARO:3006992"
"SGM-7","ARO:3006993"
"SHN-1","ARO:3006994"
"SPR-1","ARO:3006996"
"SPS-1","ARO:3006997"
"SRT-3","ARO:3006853"
"STA-1","ARO:3007000"
"TER-2","ARO:3007007"
"TTU-1","ARO:3007002"
"VEB-14","ARO:3006211"
"VHH-1","ARO:3007003"
"YEM-1","ARO:3007005"
"ZOG-1","ARO:3007006"
"norC","ARO:3007010"
"mdeA","ARO:3007011"
"sepA","ARO:3007012"
"sdrM","ARO:3007013"
"qacJ","ARO:3007014"
"qacG","ARO:3007015"
"SHD-1","ARO:3007017"
"fexB","ARO:3007019"
"Alkalihalobacillus_clausii_chloramphenicol_acetyltransferase","ARO:3004452"
"Limosilactobacillus_reuteri_cat-TC","ARO:3002671"
"vanY_gene_in_vanA_cluster","ARO:3002955"
"vanXY_gene_in_vanC_cluster","ARO:3002966"
"vanH_gene_in_vanA_cluster","ARO:3002942"
"vanX_gene_in_vanA_cluster","ARO:3002949"
"R39","ARO:3003565"
"vanS_gene_in_vanB_cluster","ARO:3002932"
"vanH_gene_in_vanB_cluster","ARO:3002943"
"vanR_gene_in_vanE_cluster","ARO:3002924"
"vanT_gene_in_vanC_cluster","ARO:3002970"
"TolC","ARO:3000237"
"MexG","ARO:3000806"
"vanW_gene_in_vanB_cluster","ARO:3002964"
"vgbB","ARO:3001308"
"vanT_gene_in_vanE_cluster","ARO:3002971"
"vanY_gene_in_vanD_cluster","ARO:3002957"
"vgbA","ARO:3001307"
"MexI","ARO:3000808"
"vanZ_gene_in_vanF_cluster","ARO:3002963"
"vanS_gene_in_vanF_cluster","ARO:3002936"
"MCR-1.1","ARO:3003689"
"OXA-289","ARO:3001744"
"Bifidobacterium_bifidum_ileS_conferring_resistance_to_mupirocin","ARO:3003730"
"Staphylococcus_aureus_mupA_conferring_resistance_to_mupirocin","ARO:3000521"
"Rm3","ARO:3003894"
"Erm(44)v","ARO:3003971"
"YojI","ARO:3003952"
"tetB(58)","ARO:3003981"
"MCR-3.1","ARO:3004139"
"MCR-5.1","ARO:3004332"
"Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin","ARO:3004480"
"erm(45)","ARO:3004595"
"TxR","ARO:3005008"
"salB","ARO:3007026"
"salC","ARO:3007027"
"vanY_gene_in_vanG_cluster","ARO:3002959"
"vanS_gene_in_vanG_cluster","ARO:3002937"
"vanS_gene_in_vanO_cluster","ARO:3002941"
"vanXY_gene_in_vanN_cluster","ARO:3002969"
"vanR_gene_in_vanM_cluster","ARO:3002928"
"vanU_gene_in_vanG_cluster","ARO:3004253"
"vanS_gene_in_vanN_cluster","ARO:3002940"
"vanR_gene_in_vanN_cluster","ARO:3002929"
"vanS_gene_in_vanM_cluster","ARO:3002939"
"vanW_gene_in_vanG_cluster","ARO:3002965"
"vanR_gene_in_vanO_cluster","ARO:3002930"
"vanH_gene_in_vanM_cluster","ARO:3002947"
"vanT_gene_in_vanN_cluster","ARO:3002975"
"vanW_gene_in_vanI_cluster","ARO:3003724"
"vanK_gene_in_vanI_cluster","ARO:3003727"
"Erm(52)","ARO:3007041"
"msr(G)","ARO:3007042"
"msr(I)","ARO:3007043"
"Erm(51)","ARO:3007033"
"mreA","ARO:3007050"
"nimD","ARO:3007106"
"Erm(50)","ARO:3007032"
"FosY","ARO:3007069"
"mef(J)","ARO:3007049"
"mef(H)","ARO:3007047"
"lsaD","ARO:3005121"
"PRC-1","ARO:3007085"
"FosM1","ARO:3007097"
"FosM2","ARO:3007098"
"FosM3","ARO:3007099"
"BcIII","ARO:3007101"
"nimA","ARO:3007104"
"nimC","ARO:3007105"
"nimE","ARO:3007107"
"LnuH","ARO:3004600"
"nimF","ARO:3007108"
"nimG","ARO:3007109"
"nimH","ARO:3007110"
"nimI","ARO:3007111"
"nimJ","ARO:3007112"
"nimK","ARO:3007113"
"nimB","ARO:3004655"
"crxA","ARO:3007118"
"tet(O/32/O)","ARO:3007119"
"tet(O/M/O)","ARO:3007120"
"tet(O/W/32/O)","ARO:3007122"
"tet(O/W/O)","ARO:3007123"
"tet(W/32/O)","ARO:3007124"
"tet(X3)","ARO:3004719"
"tet(X6)","ARO:3005056"
"tet(X1)","ARO:3005166"
"Streptomyces_rimosus_otr(A)","ARO:3002891"
"Streptomyces_lividans_otr(A)","ARO:3007127"
"mcr-10.1","ARO:3007137"
"MAB","ARO:3007180"
"blaC","ARO:3007182"
"AAC(6')-Ie-APH(2'')-Ia_bifunctional_protein","ARO:3002597"
"PAM-3","ARO:3007201"
"AAC(6')-Iap","ARO:3007204"
"Streptomyces_venezuelae_rox","ARO:3007209"
"Nocardia_farcinica_rox","ARO:3007210"
"HelR","ARO:3007208"
"MCR-8.2","ARO:3007229"
"MCR-3.33","ARO:3007248"
"MCR-3.38","ARO:3007251"
"MCR-3.27","ARO:3007253"
"FosXCC","ARO:3003208"
"FosI","ARO:3007370"
"FosA8","ARO:3007371"
"FosBx1","ARO:3007372"
"PJM-1","ARO:3007374"
"ANT(9)-Ib","ARO:3007401"
"AAC(3)-IVa","ARO:3002539"
"QnrAS","ARO:3004668"
"QnrB39","ARO:3002754"
"Mrx","ARO:3003839"
"kdpD","ARO:3004047"
"leuO","ARO:3003843"
"AAC(6')-I33","ARO:3002587"
"ANT(3'')-II-AAC(6')-IId_bifunctional_protein","ARO:3002598"
"APH(3')-IXa","ARO:3004087"
"ThfT","ARO:3007427"
"almE","ARO:3007433"
"cfrE","ARO:3005023"
"APH(9)-Ic","ARO:3007539"
"tet(62)","ARO:3007492"
"AAC(6')-I-43","ARO:3004641"
"tet(63)","ARO:3007493"
"tet(64)","ARO:3007494"
"LAQ-1","ARO:3007438"
"EstT","ARO:3007459"
"IND-17","ARO:3007470"
"IMP-91","ARO:3007460"
"RAD-1","ARO:3007483"
"dfrB10","ARO:3007489"
"ANT(9)-Ic","ARO:3007515"
"mef(C)","ARO:3003745"
"mef(E)","ARO:3000614"
"mef(F)","ARO:3007044"
"OXA-1039","ARO:3007562"
"CAE-1","ARO:3007635"
"catA1","ARO:3002683"
"Clostridioides_difficile_cplR","ARO:3007637"
"Clostridium_perfringes_cplR","ARO:3007644"
"Clostridium_sporogenes_cplR","ARO:3007645"
"PSZ-1","ARO:3007648"
"CDA-1","ARO:3007650"
"erm(56)","ARO:3007654"
"SIE-1","ARO:3007846"
"putative_nickel/cobalt_transporter","ARO:3007659"
"Rv1877","ARO:3007662"
"aadT","ARO:3007669"
"Clostridioides_difficile_nimB","ARO:3007671"
"IreK","ARO:3007678"
"AMZ-1","ARO:3007694"
"MdtQ","ARO:3007682"
"TEM-1","ARO:3000873"
"RATA-1","ARO:3007801"
"RATA-2","ARO:3007802"
"CARB-57","ARO:3007836"
"CARB-58","ARO:3007837"
"tet(65)","ARO:3007838"
"CIM-1","ARO:3007840"
"CHM-1","ARO:3007855"
"DYB-1","ARO:3007861"
"ACT-107","ARO:3007890"
"ACT-111","ARO:3007894"
"ACT-118","ARO:3007900"
"ACT-131","ARO:3007907"
"ACT-145","ARO:3007913"
"ACT-153","ARO:3007918"
"ACT-172","ARO:3007935"
"ACT-177","ARO:3007940"
"ACT-189","ARO:3007952"
"ADC-287","ARO:3008003"
"ADC-295","ARO:3008011"
"ADC-343","ARO:3008053"
"ADC-350","ARO:3008060"
"ADC-352","ARO:3008062"
"AIM-2","ARO:3008073"
"BMHC-1","ARO:3008081"
"BOR-1","ARO:3008082"
"CME-3","ARO:3008084"
"CMY-179","ARO:3008116"
"CMY-190","ARO:3008125"
"FONA-12","ARO:3008175"
"GMA-1","ARO:3008193"
"GOB-17","ARO:3008195"
"HBL-1","ARO:3008199"
"HER-3","ARO:3008202"
"HER-6","ARO:3008205"
"HER-8","ARO:3008206"
"HMB-2","ARO:3008207"
"IND-18","ARO:3008226"
"KHM-2","ARO:3008228"
"KPC-122","ARO:3008252"
"MOX-15","ARO:3008383"
"MOX-19","ARO:3008387"
"MUN-1","ARO:3008394"
"OXA-1003","ARO:3008424"
"OXA-1005","ARO:3008426"
"OXA-1036","ARO:3008457"
"OXA-1041","ARO:3008460"
"OXA-1043","ARO:3008462"
"OXA-1045","ARO:3008464"
"OXA-1056","ARO:3008474"
"OXA-1089","ARO:3008507"
"OXA-1090","ARO:3008508"
"OXA-1091","ARO:3008509"
"OXA-1108","ARO:3008526"
"OXA-1112","ARO:3008530"
"OXA-1136","ARO:3008554"
"OXA-1142","ARO:3008560"
"OXA-1152","ARO:3008570"
"OXA-1153","ARO:3008571"
"OXA-1157","ARO:3008575"
"OXA-1160","ARO:3008578"
"OXA-1189","ARO:3008605"
"OXA-1206","ARO:3008618"
"OXA-1208","ARO:3008620"
"OXA-1264","ARO:3008674"
"OXA-1294","ARO:3008704"
"OXA-950","ARO:3008727"
"OXA-956","ARO:3008733"
"OXA-958","ARO:3008735"
"OXA-981","ARO:3008758"
"OXA-984","ARO:3008761"
"OXA-991","ARO:3008768"
"OXA-997","ARO:3008774"
"OXY-2-28","ARO:3008799"
"OXY-8-1","ARO:3008817"
"PAD-1","ARO:3008821"
"PAM-5","ARO:3008822"
"PC1","ARO:3008823"
"PEN-A11","ARO:3008989"
"PEN-A17","ARO:3008994"
"PEN-A20","ARO:3008998"
"PEN-A35","ARO:3009014"
"PEN-A3","ARO:3009017"
"PEN-A5","ARO:3009018"
"PEN-A8","ARO:3009021"
"PEN-A9","ARO:3009022"
"PEN-B1","ARO:3009023"
"PEN-B2","ARO:3009024"
"PEN-B4","ARO:3009026"
"PLA-5","ARO:3009031"
"PNC-1","ARO:3009032"
"PNC-2","ARO:3009033"
"RAA-1","ARO:3009035"
"RAHN-3","ARO:3009036"
"RASA-1","ARO:3009040"
"RSC1-1","ARO:3009041"
"SED-2","ARO:3009044"
"SFDC-1","ARO:3009046"
"SRT-4","ARO:3009065"
"YOC-1","ARO:3009096"
"YRC-1","ARO:3005035"
"SED-1","ARO:3003561"
